date,time,latitude,longitude,description,depth,richter
"Feb 16, 2022",01:50:14,14.142200000000001,-91.441699999999997,En Territorio Guatemalteco. A 107 km al suroeste de ciudad de Guatemala.,59.689999999999998,5
"Feb 16, 2022",01:12:25,14.1043,-91.394199999999998,En Territorio Guatemalteco. A 105 km al suroeste de ciudad de Guatemala.,56.32,6.7000000000000002
"Feb 15, 2022",20:58:02,13.255800000000001,-87.679500000000004,En Golfo de Fonseca. A 21 km al sureste de La UniÃ³n.,10.59,2.8999999999999999
"Feb 15, 2022",20:27:00,13.270200000000001,-87.703699999999998,En Golfo de Fonseca. A 16 km al sureste de La UniÃ³n.,10.9,2.7999999999999998
"Feb 15, 2022",13:19:00,13.098000000000001,-89.644000000000005,Frente a la costa de La Libertad. A 46.0 km al sur de Playa Mizata.,44,4.4000000000000004
"Feb 14, 2022",12:13:27,13.180999999999999,-90.487300000000005,Frente a la costa de Guatemala. A 77.0 km al suroeste de Barra de Santiago.,13,3.8999999999999999
"Feb 14, 2022",11:54:05,13.1576,-90.533799999999999,Frente a la costa de Guatemala. A 83.0 km al suroeste de Barra de Santiago.,15,4
"Feb 14, 2022",05:40:37,13.2867,-90.351299999999995,Frente a la costa de Guatemala. A 58 km al suroeste de Barra de Santiago.,24.050000000000001,4.2999999999999998
"Feb 13, 2022",20:31:19,12.621700000000001,-89.228800000000007,Frente a la costa de La Paz. A 82 km al suroeste de Estero de Jaltepeque.,23.649999999999999,3.7000000000000002
"Feb 13, 2022",01:51:03,13.315300000000001,-89.0745,Frente a la costa de La Paz. A 5 km al suroeste de Playa Las Hojas.,45.200000000000003,4
"Feb 12, 2022",00:00:47,13.6532,-89.027699999999996,"En Lago de Ilopango, San Salvador. A 12 km al suroeste de Cojutepeque.",5.4900000000000002,2.5
"Feb 10, 2022",10:41:35,12.571899999999999,-88.205299999999994,Frente a la costa de UsulutÃ¡n. A 67.0 km al sur de Playa El Espino.,23,3.7999999999999998
"Feb 09, 2022",15:56:01,13.1473,-90.035200000000003,Frente a la costa de Sonsonate. A 49 km al suroeste de Playa Los CÃ³banos.,33.289999999999999,3.6000000000000001
"Feb 05, 2022",17:00:00,13.729699999999999,-90.758300000000006,Frente a la costa de Guatemala. A 80 km al oeste de Barra de Santiago.,59.829999999999998,4.2999999999999998
"Feb 04, 2022",16:30:08,13.163,-90.159300000000002,Frente a la costa de AhuachapÃ¡n. A 56.0 km al suroeste de Playa Los CÃ³banos.,13,3.7999999999999998
"Feb 03, 2022",10:17:58,12.4063,-88.910300000000007,Frente a la costa de UsulutÃ¡n. A 94 km al sur de PenÃ­nsula San Juan del Gozo,7.4900000000000002,4.0999999999999996
"Feb 03, 2022",10:09:42,13.3432,-89.913799999999995,Frente a la costa de Sonsonate. A 23 km al suroeste de Playa Los CÃ³banos.,49.619999999999997,3.7999999999999998
"Feb 02, 2022",21:35:45,12.462,-87.821399999999997,Frente a la costa de Nicaragua. A 79.0 km al sur de Playa Las Tunas. Prof. 29 km.,29.199999999999999,4.0999999999999996
"Feb 01, 2022",13:22:31,13.655799999999999,-89.041799999999995,"En Lago de Ilopango, San Salvador. A 13 km al suroeste de Cojutepeque.",3.4700000000000002,2.7999999999999998
"Feb 01, 2022",13:00:55,13.664300000000001,-89.031300000000002,"En Lago de Ilopango, San Salvador. A 12 km al suroeste de Cojutepeque.",8.6699999999999999,2.6000000000000001
"Feb 01, 2022",04:00:43,13.173299999999999,-89.083799999999997,Frente a la costa de La Paz. A 21.0 km al sur de Playa San Marcelino.,72,3.8999999999999999
"Ene 31, 2022",20:02:49,12.937799999999999,-88.590800000000002,Frente a la costa de UsulutÃ¡n. A 30.0 km al suroeste de BahÃ­a de Jiquilisco.,59,3.7000000000000002
"Ene 31, 2022",13:38:24,13.053699999999999,-88.601299999999995,Frente a la costa de UsulutÃ¡n. A 19.0 km al sur de PenÃ­nsula San Juan del Gozo.,68,3.6000000000000001
"Ene 29, 2022",08:09:02,13.9635,-89.699299999999994,"En munic. de Chalchuapa, Santa Ana. A 15 km al oeste de Santa Ana.",4,3.1000000000000001
"Ene 28, 2022",21:19:27,12.8658,-88.735100000000003,Frente a la costa de UsulutÃ¡n. A 40.0 km al sur de PenÃ­nsula San Juan del Gozo.,50,5.2999999999999998
"Ene 26, 2022",01:46:04,13.063000000000001,-88.995800000000003,Frente a la costa de La Paz. A 27 km al suroeste de Estero de Jaltepeque.,52.390000000000001,3.5
"Ene 26, 2022",00:30:19,13.739800000000001,-90.710700000000003,Frente a la costa de Guatemala. A 75 km al oeste de Barra de Santiago.,34.5,4.5
"Ene 22, 2022",08:44:44,13.6487,-90.939800000000005,Frente a la costa de Guatemala. A 103.0 km al oeste de Barra de Santiago.,34,4.2000000000000002
"Ene 18, 2022",19:25:34,13.869199999999999,-89.677199999999999,"En munic. de JuayÃºa, Sonsonate. A 16 km al norte de Sonsonate.",4.7699999999999996,2.7000000000000002
"Ene 17, 2022",04:50:45,13.1106,-89.307599999999994,Frente a la costa de La Libertad. A 38.0 km al suroeste de Playa La Zunganera.,55.200000000000003,4.2000000000000002
"Ene 16, 2022",18:12:05,13.0101,-89.050299999999993,Frente a la costa de La Paz. A 36.0 km al suroeste de Estero de Jaltepeque.,49.100000000000001,3.7000000000000002
"Ene 16, 2022",18:05:47,12.6648,-88.756100000000004,Frente a la costa de UsulutÃ¡n. A 62.0 km al sur de PenÃ­nsula San Juan del Gozo.,13.699999999999999,3.7000000000000002
"Ene 15, 2022",18:37:27,13.7812,-89.4542,"En munic. de Ciudad Arce, La Libertad. A 23 km al noroeste de Santa Tecla.",8,2.7000000000000002
"Ene 15, 2022",16:31:54,13.7883,-89.455500000000001,"En munic. de Ciudad Arce, La Libertad. A 24 km al noroeste de Santa Tecla.",9,2.8999999999999999
"Ene 15, 2022",16:30:03,13.793799999999999,-89.439800000000005,"En munic. de Ciudad Arce, La Libertad. A 22 km al noroeste de Santa Tecla.",7,2.7999999999999998
"Ene 15, 2022",06:50:53,12.9932,-89.098799999999997,Frente a la costa de La Paz. A 39 km al sur de Playa Costa del Sol.,63.090000000000003,4.9000000000000004
"Ene 14, 2022",20:45:47,14.101699999999999,-89.727800000000002,En Territorio Guatemalteco. A 22 km al noroeste de Santa Ana.,6.3799999999999999,2.7000000000000002
"Ene 14, 2022",20:12:21,14.0945,-89.733699999999999,En Territorio Guatemalteco. A 22 km al noreste de AhuachapÃ¡n.,5.0899999999999999,2.8999999999999999
"Ene 13, 2022",00:28:57,13.585800000000001,-90.959599999999995,Frente a la costa de Guatemala. A 106.0 km al oeste de Barra de Santiago.,13,4.2999999999999998
"Ene 11, 2022",17:34:55,13.1927,-89.797200000000004,Frente a la costa de Sonsonate. A 37.0 km al sur de Playa Los CÃ³banos.,37.100000000000001,3.7999999999999998
"Ene 11, 2022",06:59:24,12.825100000000001,-88.950999999999993,Frente a la costa de La Paz. A 50.0 km al sur de Desembocadura del RÃ­o Lempa.,56.5,3.7000000000000002
"Ene 09, 2022",11:10:29,11.9549,-87.150999999999996,Frente a la costa de Nicaragua. A 149 km al sureste de Isla de Meanguera.,20.289999999999999,5.0999999999999996
"Ene 09, 2022",09:00:31,13.23,-89.9572,Frente a la costa de Sonsonate. A 36 km al suroeste de Playa Los CÃ³banos.,26.879999999999999,3.6000000000000001
"Ene 08, 2022",19:28:30,12.523999999999999,-87.9953,Frente a la costa de La UniÃ³n. A 70 km al sur de Playa Las Tunas.,41.32,3.6000000000000001
"Ene 07, 2022",11:04:00,11.933,-87.119,"Frente a la costa de Nicaragua. A 100.0 km al oeste de ciudad de Managua, Nicaragua.",36,5.0999999999999996
"Ene 06, 2022",10:50:08,12.0152,-87.134100000000004,Frente a la costa de Nicaragua. A 144 km al sureste de Isla de Meanguera.,30.579999999999998,4.5999999999999996
"Ene 06, 2022",10:25:08,11.8993,-87.169700000000006,Frente a la costa de Nicaragua. A 154 km al sureste de Isla de Meanguera.,37.810000000000002,6.2000000000000002
"Ene 05, 2022",15:44:51,13.067500000000001,-89.158799999999999,Frente a la costa de La Paz. A 34 km al sur de Playa Las Hojas.,54.729999999999997,3.5
"Ene 04, 2022",07:43:07,12.936,-88.916799999999995,Frente a la costa de La Paz. A 36 km al sur de Desembocadura del RÃ­o Lempa.,52.32,3.7000000000000002
